tier,area,method,il2cpp_token,caller_count,signature,field,note
S,Localize,GetLocalizeText,100674526,209,public unsafe static string GetLocalizeText(string ID),GetLocalizeText_Public_Static_String_String_0,Central string lookup; best global interception point for runtime string overrides.
A,Message,itfMesMngRequestMessage,100669366,3,"public unsafe static int itfMesMngRequestMessage(int id, int message, int page, int callmode = 0)",itfMesMngRequestMessage_Public_Static_Int32_Int32_Int32_Int32_Int32_0,"Intercept message request by ID before display; good for swaps, logging, and routing."
A,Message,itfMesMngRequestSelect,100669369,2,"public unsafe static void itfMesMngRequestSelect(int id, int select)",itfMesMngRequestSelect_Public_Static_Void_Int32_Int32_0,Selection prompt request; pairs with itfMesMngGetSelectNo / selection window.
A,Negotiation,nbDispNegoMessage,100672231,120,"public unsafe static void nbDispNegoMessage(ref nbNegoProcessData_t n, int msgid, int msgno, int sel)",nbDispNegoMessage_Public_Static_Void_byref_nbNegoProcessData_t_Int32_Int32_Int32_0,Negotiation-specific message display; high leverage for negotiation text + logic.
A,Negotiation,nbSetNegoMesVar,100672233,8,"public unsafe static void nbSetNegoMesVar(int msgid, ref datUnitWork_t p, ref datUnitWork_t e)",nbSetNegoMesVar_Public_Static_Void_Int32_byref_datUnitWork_t_byref_datUnitWork_t_0,Negotiation variable feed into message formatting (format args).
B,Message,itfMesMngSetVar,100669379,9,"public unsafe static void itfMesMngSetVar(int id, int index, int num, int type)",itfMesMngSetVar_Public_Static_Void_Int32_Int32_Int32_Int32_0,Generic message variable table writes (format args).
B,Message,itfMesMngSetVarImmediate,100669381,2,"public unsafe static void itfMesMngSetVarImmediate(int id, int index, string pstr)",itfMesMngSetVarImmediate_Public_Static_Void_Int32_Int32_String_0,Immediate var writes used right before display in some flows.
B,Message,WindowDispOn,100669296,4,public unsafe static void WindowDispOn(instanceMes_tag pinst),WindowDispOn_Internal_Static_Void_instanceMes_tag_0,Window lifecycle entry point; useful for timing/policy; moderate call count.
B,Message,WindowDispOff,100669299,12,public unsafe static void WindowDispOff(bool sw = false),WindowDispOff_Internal_Static_Void_Boolean_0,Window lifecycle exit point; relatively hot; keep hooks very lightweight.
B,UI,itfPnlDraw,100669467,4323,"public unsafe static void itfPnlDraw(itfpanel_t handle, sdfGrOt_t pot)",itfPnlDraw_Public_Static_Void_itfpanel_t_sdfGrOt_t_0,Very hot draw path (all panels). Only hook if you can keep it allocation-free and extremely fast.
C,Event,evtCommand_MESSAGE_WAIT,100667070,0,public unsafe static int evtCommand_MESSAGE_WAIT(),evtCommand_MESSAGE_WAIT_Public_Static_Int32_0,Event script gate; useful for synchronizing message waits.
C,Event,evtCommand_KUTI,100666919,0,public unsafe static int evtCommand_KUTI(),evtCommand_KUTI_Public_Static_Int32_0,KUTI system touchpoint (speaker / mouth / dialogue UI).
